Entity,Year,Alone,With friends,With children,With family,With partner,With coworkers
Men,59,7.405526,0.47614405,0.99424237,0.9195901,3.4887335,2.253585
Men,60,7.3874536,0.5058012,0.8950363,0.85527205,3.5880914,2.241565
Men,61,6.9724627,0.46488634,0.9813407,0.83598673,3.7029834,2.4192789
Men,62,7.8515387,0.43306994,0.7170029,0.7671897,3.8271253,1.5788974
Men,63,7.827791,0.52506006,0.70472455,0.9067964,3.7009912,1.5471232
Men,64,7.8140054,0.48258108,0.6535513,0.7157044,3.9295413,1.5100974
Men,65,7.9399137,0.520152,0.75745165,0.7992815,4.0773,1.2615709
Men,66,7.5037165,0.6085382,0.7346119,0.8884622,4.529459,1.0293142
Men,67,7.6866713,0.55587393,0.7601417,0.760257,4.5886908,0.70045805
Men,68,7.3441696,0.5188014,0.73197037,0.701248,4.920339,0.81654716
Men,69,7.6691103,0.58574945,0.81019485,0.77981544,4.868007,0.44876933
Men,70,7.724542,0.65957123,0.75811875,0.6726782,4.7477093,0.55044854
Men,71,7.6568785,0.59343165,0.7440468,0.6885871,5.079361,0.47613207
Men,72,7.7542305,0.516565,0.49948162,0.7703886,5.0970316,0.4640743
Men,73,7.4883194,0.44228038,0.8040031,0.7156718,5.275845,0.41068664
Men,74,7.56588,0.44290262,0.4869226,0.6342957,5.2431016,0.3079058
Men,75,7.0921345,0.61290526,0.6413834,0.6806205,5.4284306,0.31623995
Men,76,7.1100435,0.37387565,0.5845985,0.6949638,5.773336,0.2956238
Men,77,7.0044413,0.4396221,0.6696041,0.90219796,5.7096457,0.26319447
Men,78,7.172529,0.4634594,0.524022,0.6552023,5.649057,0.06434629
Men,79,7.5894766,0.5471515,0.4400244,0.4772125,5.452214,0.1460045
Men,80,7.3413477,0.4905475,0.4304932,0.74378735,5.238976,0.097197294
Women,15,3.4575856,1.4968197,0.43520904,4.4537854,0,0.1167636
Women,16,3.5930808,1.4256073,0.50229913,4.330355,0.00007021716,0.41875395
Women,17,3.555067,1.6749958,0.6058921,4.2111826,0.03076063,0.64923406
Women,18,3.976778,2.0286202,0.61049837,4.289623,0.098273,1.0965625
Women,19,4.5822763,1.563967,0.66686046,3.4689984,0.30843613,2.020012
Women,20,4.495343,1.7162569,1.1651313,3.3262775,0.5673025,1.8981827
Women,21,4.493759,1.4000804,1.4073842,2.9663732,1.0237389,2.2238245
Women,22,4.6481404,1.1993917,1.5078539,2.4920754,1.0395406,2.5529752
Women,23,4.4255404,1.2927537,1.9835174,2.1533327,1.4362319,3.1004431
